NumberofCases,TypeofCrime
170,Drug dealing/trafficking
81,Drug dealing/trafficking
96,Drug dealing/trafficking
130,Drug dealing/trafficking
122,Drug dealing/trafficking
72,Drug dealing/trafficking
178,Drug dealing/trafficking
83,Drug dealing/trafficking
128,Drug dealing/trafficking
99,Drug dealing/trafficking
34,Drug dealing/trafficking
69,Drug dealing/trafficking
96,Drug dealing/trafficking
90,Drug dealing/trafficking
143,Drug dealing/trafficking
111,Drug dealing/trafficking
59,Drug dealing/trafficking
74,Drug dealing/trafficking
76,Drug dealing/trafficking
65,Drug dealing/trafficking
168,Drug dealing/trafficking
77,Drug dealing/trafficking
84,Drug dealing/trafficking
37,Drug dealing/trafficking
69,Drug dealing/trafficking
46,Drug dealing/trafficking
80,Drug dealing/trafficking
74,Drug dealing/trafficking
77,Drug dealing/trafficking
139,Drug dealing/trafficking
79,Drug dealing/trafficking
138,Drug dealing/trafficking
95,Drug dealing/trafficking
116,Drug dealing/trafficking
98,Drug dealing/trafficking
128,Drug dealing/trafficking
93,Drug dealing/trafficking
67,Drug dealing/trafficking
102,Drug dealing/trafficking
155,Drug dealing/trafficking
137,Drug dealing/trafficking
59,Drug dealing/trafficking
83,Drug dealing/trafficking
120,Drug dealing/trafficking
91,Drug dealing/trafficking
77,Drug dealing/trafficking
87,Drug dealing/trafficking
104,Drug dealing/trafficking
63,Drug dealing/trafficking
113,Drug dealing/trafficking
88,Drug dealing/trafficking
85,Drug dealing/trafficking
104,Drug dealing/trafficking
88,Drug dealing/trafficking
118,Drug dealing/trafficking
129,Drug dealing/trafficking
106,Drug dealing/trafficking
98,Drug dealing/trafficking
93,Drug dealing/trafficking
65,Drug dealing/trafficking
53,Drug dealing/trafficking
86,Drug dealing/trafficking
71,Drug dealing/trafficking
65,Drug dealing/trafficking
196,Drug dealing/trafficking
65,Drug dealing/trafficking
89,Drug dealing/trafficking
87,Drug dealing/trafficking
66,Drug dealing/trafficking
108,Drug dealing/trafficking
201,Drug dealing/trafficking
88,Drug dealing/trafficking
115,Drug dealing/trafficking
67,Drug dealing/trafficking
159,Drug dealing/trafficking
120,Drug dealing/trafficking
61,Drug dealing/trafficking
80,Drug dealing/trafficking
77,Drug dealing/trafficking
54,Drug dealing/trafficking
101,Drug dealing/trafficking
80,Drug dealing/trafficking
94,Drug dealing/trafficking
106,Drug dealing/trafficking
34,Drug dealing/trafficking
86,Drug dealing/trafficking
115,Drug dealing/trafficking
95,Drug dealing/trafficking
135,Drug dealing/trafficking
83,Drug dealing/trafficking
96,Drug dealing/trafficking
57,Drug dealing/trafficking
53,Drug dealing/trafficking
50,Drug dealing/trafficking
68,Drug dealing/trafficking
70,Drug dealing/trafficking
72,Drug dealing/trafficking
99,Drug dealing/trafficking
65,Drug dealing/trafficking
59,Drug dealing/trafficking
188,Drug dealing/trafficking
109,Drug dealing/trafficking
227,Drug dealing/trafficking
219,Drug dealing/trafficking
128,Drug dealing/trafficking
87,Drug dealing/trafficking
66,Drug dealing/trafficking
84,Drug dealing/trafficking
86,Drug dealing/trafficking
32,Drug dealing/trafficking
54,Drug dealing/trafficking
95,Drug dealing/trafficking
198,Drug dealing/trafficking
79,Drug dealing/trafficking
68,Drug dealing/trafficking
56,Drug dealing/trafficking
82,Drug dealing/trafficking
126,Drug dealing/trafficking
65,Drug dealing/trafficking
79,Drug dealing/trafficking
100,Drug dealing/trafficking
97,Drug dealing/trafficking
82,Drug dealing/trafficking
100,Drug dealing/trafficking
123,Drug dealing/trafficking
161,Drug dealing/trafficking
66,Drug dealing/trafficking
109,Drug dealing/trafficking
51,Drug dealing/trafficking
62,Drug dealing/trafficking
57,Drug dealing/trafficking
72,Drug dealing/trafficking
62,Drug dealing/trafficking
107,Drug dealing/trafficking
145,Drug dealing/trafficking
54,Drug dealing/trafficking
62,Drug dealing/trafficking
106,Drug dealing/trafficking
57,Drug dealing/trafficking
63,Drug dealing/trafficking
280,Drug dealing/trafficking
83,Drug dealing/trafficking
68,Drug dealing/trafficking
118,Drug dealing/trafficking
59,Drug dealing/trafficking
54,Drug dealing/trafficking
147,Drug dealing/trafficking
172,Drug dealing/trafficking
136,Drug dealing/trafficking
95,Drug dealing/trafficking
